"","BOTTOM_DEPTH","CRUISE","DAY","DIS_PERVOLM2","DIS_PERVOLM3","EST_NUM_PERM2","EST_NUM_PERM3","FOCI_ID","GEAR_NAME","GEOGRAPHIC_AREA","GMT_DATE_TIME_TXT","HAUL_ID","HAUL_NAME","HAUL_PERFORMANCE","LAT","LON","MAX_GEAR_DEPTH","MESH","MIN_GEAR_DEPTH","MONTH","NET","SEX","SEX_NAME","SIZE_NAME","SPECIMEN_FORM","STAGE","STAGE_NAME","STATION_NAME","TAXON_NAME","TAXON_SIZE","VOLUME_FILTERED","YEAR","ZOOP_COPEPOD_NAUPLII","ZOOP_EUPHAUSIID_EGG","weight_mean","sd","total_WW_m2","mean_DW_mg_m2","mg_C_m2","total_WW_m3","mean_DW_mg_m3","mg_C_m3","bsregion"
"1",70,"DY17-08",24,14.004,0.2334,149.394,2.4899,"DY17-08 8 2 20BON 1 4185#21#999#999","20BON","BS","2017-09-24 21:34","DY17-08 8 2 20BON 1",2,"GOOD",57.261,-165.7393,60,153,0,9,1,999,"NOT DETERMINED","NOT DETERMINED","H",21,"C - 2 (COPEPODITE II)","8","Calanus marshallae",999,12.852,2017,NA,NA,0.075071254822619,0.0105904892293642,11.2151950429703,1.54825091474837,0.619300365899349,0.186919917382839,0.0208019087507281,0.00832076350029123,"3"
"2",56,"DY18-06",19,400.9896,9.1134,6497.0136,147.6594,"DY18-06 58 1 20BON 1 4185#20#999#999","20BON","BS","2018-05-19 23:47","DY18-06 58 1 20BON 1",1,"GOOD",57.4217,-163.901,44,153,0,5,1,999,"NOT DETERMINED","NOT DETERMINED","H",20,"C - 1 (COPEPODITE I)","58","Calanus marshallae",999,8.6686,2018,NA,NA,0.0282516378511003,0.00311624624807987,183.551275340873,29.3551332742157,11.7420533096863,4.17161989411075,0.546680862163934,0.218672344865574,"3"
"3",73,"1DY10",28,113.5596,1.7206,0,0,"1DY10 8 8 20BON 1 4185#21#999#999","20BON","BS","2010-04-28 06:14","1DY10 8 8 20BON 1",8,"GOOD",56.87333,-164.0555,66,153,0,4,1,999,"NOT DETERMINED","NOT DETERMINED","C",21,"C - 2 (COPEPODITE II)","8","Calanus marshallae",999,15.69205,2010,NA,NA,0.075071254822619,0.0105904892293642,0,0,0,0,0,0,"3"
"4",72,"1DY10",1,56.9118,0.8623,0,0,"1DY10 16 2 60BON 1 4185#0#1#999","60BON","BS","2010-05-01 08:21","1DY10 16 2 60BON 1",2,"GOOD",56.8985,-164.03867,66,333,0,5,1,1,"MALE","NOT DETERMINED","B",0,"ADULT","16","Calanus marshallae",999,98.57505,2010,NA,NA,1.39403719141276,0.238241938468224,0,0,0,0,0,0,"3"
"5",72,"1DY10",1,56.9118,0.8623,3192.3672,48.3692,"1DY10 16 2 60BON 1 4185#0#2#999","60BON","BS","2010-05-01 08:21","1DY10 16 2 60BON 1",2,"GOOD",56.8985,-164.03867,66,333,0,5,1,2,"FEMALE","NOT DETERMINED","B",0,"ADULT","16","Calanus marshallae",999,98.57505,2010,NA,NA,1.83955356985089,0.240161339042795,5872.53047903491,1127.10928670559,450.843714682236,88.9777345308319,13.69798298112,5.47919319244802,"3"
"6",72,"1DY10",1,56.9118,0.8623,0,0,"1DY10 16 2 60BON 1 4185#22#999#999","60BON","BS","2010-05-01 08:21","1DY10 16 2 60BON 1",2,"GOOD",56.8985,-164.03867,66,333,0,5,1,999,"NOT DETERMINED","NOT DETERMINED","B",22,"C - 3 (COPEPODITE III)","16","Calanus marshallae",999,98.57505,2010,NA,NA,0.207782139885689,0.033859585789125,0,0,0,0,0,0,"3"
"7",72,"1DY10",1,56.9118,0.8623,0,0,"1DY10 16 2 60BON 1 4185#23#999#999","60BON","BS","2010-05-01 08:21","1DY10 16 2 60BON 1",2,"GOOD",56.8985,-164.03867,66,333,0,5,1,999,"NOT DETERMINED","NOT DETERMINED","B",23,"C - 4 (COPEPODITE IV)","16","Calanus marshallae",999,98.57505,2010,NA,NA,0.493102857603848,0.0778181501067857,0,0,0,0,0,0,"3"
"8",72,"1DY10",1,56.9118,0.8623,10.7118,0.1623,"1DY10 16 2 60BON 1 4185#24#999#999","60BON","BS","2010-05-01 08:21","1DY10 16 2 60BON 1",2,"GOOD",56.8985,-164.03867,66,333,0,5,1,999,"NOT DETERMINED","NOT DETERMINED","B",24,"C - 5 (COPEPODITE V)","16","Calanus marshallae",999,98.57505,2010,NA,NA,1.28108646212632,0.163979799162647,13.7227419650047,1.91464265907962,0.765857063631849,0.207920332803102,0.0232690324428582,0.00930761297714327,"3"
"9",62,"1AR07",18,1.1271,0.0221,0,0,"1AR07 9 2 60BON 1 4185#0#1#999","60BON","BS","2007-06-18 04:19","1AR07 9 2 60BON 1",2,"GOOD",57.022,-163.49583,51,333,0,6,1,1,"MALE","NOT DETERMINED","B",0,"ADULT","9","Calanus marshallae",999,90.37374,2007,NA,NA,1.39403719141276,0.238241938468224,0,0,0,0,0,0,"3"
"10",62,"1AR07",18,1.1271,0.0221,6.7728,0.1328,"1AR07 9 2 60BON 1 4185#0#2#999","60BON","BS","2007-06-18 04:19","1AR07 9 2 60BON 1",2,"GOOD",57.022,-163.49583,51,333,0,6,1,2,"FEMALE","NOT DETERMINED","B",0,"ADULT","9","Calanus marshallae",999,90.37374,2007,NA,NA,1.83955356985089,0.240161339042795,12.4589284178861,1.72949413056179,0.691797652224718,0.244292714076199,0.0275725416767825,0.011029016670713,"3"
