/* DATA DESCRIPTION:
Citation:	Ikeda, Tsutomu; Sano, Fumikazu; Yamaguchi, Atsushi (2014): Respiration rate of pelagic copepods determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.833824
Related to:	Ikeda, Tsutomu; Sano, Fumikazu; Yamaguchi, Atsushi (2007): Respiration in marine pelagic copepods: a global-bathymetric model. Marine Ecology Progress Series, 339, 215-219, https://doi.org/10.3354/meps339215
Event(s):	Copepods-global_RESEXP * METHOD/DEVICE: Experiment (EXP) * COMMENT: respiration rate experiment using cultures from different sources
Parameter(s):	Species (Species) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Uniform resource locator/link to reference (URL ref) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Stage (Stage) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	DEPTH, water [m] (Depth water) * GEOCODE
	Treatment: temperature [°C] (Treat temp) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Respiration rate, oxygen, per individual [µl/#/h] (Resp O2/ind) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Body mass, dry [mg] (BM dry) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Nitrogen mass [mg] (N) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Carbon mass [mg] (C) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
	Reference of data (Ref data) * PI: Ikeda, Tsutomu (tom@pop.fish.hokudai.ac.jp)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1777 data points
*/
Species	URL ref	Stage	Depth water [m]	Treat temp [°C]	Resp O2/ind [µl/#/h]	BM dry [mg]	N [mg]	C [mg]	Ref data
Aetideopsis rostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104272	C5F	1500	2.0	0.122	0.707	0.058	0.4	Ikeda et al. (2006)
Aetideopsis rostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104272	C5M	750	3.0	0.397	0.762	0.080	0.3	Ikeda et al. (2006)
Aetideopsis rostrata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104272	C5M	1500	2.0	0.420	1.840	0.106	1.0	Ikeda et al. (2006)
Amallothrix inornata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=356943	C5M	1500	2.0	0.363	0.912	0.066	0.6	Ikeda et al. (2006)
Amallothrix inornata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=356943	C6F	1500	2.0	0.210	0.946	0.076	0.5	Ikeda et al. (2006)
Amallothrix inornata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=356943	C6F	2500	1.5	0.433	0.803	0.084	0.4	Ikeda et al. (2006)
Amallothrix inornata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=356943	C6F	2500	1.5	0.369	1.029	0.107	0.5	Ikeda et al. (2006)
Amallothrix inornata	https://www.marinespecies.org/aphia.php?p=taxdetails&id=356943	C6M	1500	2.0	0.166	0.524	0.042	0.3	Ikeda et al. (2006)
Amallothrix paravalida	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104772	C6F	1500	2.0	0.260	0.664	0.047	0.4	Ikeda et al. (2006)
Amallothrix valida	https://www.marinespecies.org/aphia.php?p=taxdetails&id=220858	C5F	1500	2.0	0.287	1.000	0.075	0.6	Ikeda et al. (2006)
Amallothrix valida	https://www.marinespecies.org/aphia.php?p=taxdetails&id=220858	C5M	750	3.0	0.281	0.684	0.055	0.4	Ikeda et al. (2006)
Amallothrix valida	https://www.marinespecies.org/aphia.php?p=taxdetails&id=220858	C6F	750	3.0	0.562	0.872	0.094	0.4	Ikeda et al. (2006)
Amallothrix valida	https://www.marinespecies.org/aphia.php?p=taxdetails&id=220858	C6F	1500	2.0	0.316	1.094	0.079	0.7	Ikeda et al. (2006)
Bathycalanus bradyi	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104617	C6F	1500	2.0	4.170	34.490	2.380	21.8	Ikeda et al. (2006)
Bathycalanus bradyi	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104617	C6F	2500	1.5	1.259	16.780	1.195	9.9	Ikeda et al. (2006)
Bathycalanus bradyi	https://www.marinespecies.org/aphia.php?p=taxdetails&id=104617	C6F	2500	1.5	1.052	10.520	0.915	5.0	Ikeda et al. (2006)
Bradyidius pacificus	https://www.marinespecies.org/aphia.php?p=taxdetails&id=346176	C5M	1500	2.0	0.225	0.890	0.078	0.5	Ikeda et al. (2006)
Candacia columbiae	https://www.marinespecies.org/aphia.php?p=taxdetails&id=349800	C6M	750	3.0	0.231	0.435	0.050	0.2	Ikeda et al. (2006)
