Species,Stage,Depth water [m],Treat temp [°C],Resp O2/ind [µl/#/h],BM dry [mg],N [mg],C [mg],Ref data
Aetideopsis rostrata,C5F,1500,2,0.122,0.707,0.058,0.4,Ikeda et al. (2006)
Aetideopsis rostrata,C5M,750,3,0.397,0.762,0.08,0.3,Ikeda et al. (2006)
Aetideopsis rostrata,C5M,1500,2,0.42,1.84,0.106,1,Ikeda et al. (2006)
Amallothrix inornata,C5M,1500,2,0.363,0.912,0.066,0.6,Ikeda et al. (2006)
Amallothrix inornata,C6F,1500,2,0.21,0.946,0.076,0.5,Ikeda et al. (2006)
Amallothrix inornata,C6F,2500,1.5,0.433,0.803,0.084,0.4,Ikeda et al. (2006)
Amallothrix inornata,C6F,2500,1.5,0.369,1.029,0.107,0.5,Ikeda et al. (2006)
Amallothrix inornata,C6M,1500,2,0.166,0.524,0.042,0.3,Ikeda et al. (2006)
Amallothrix paravalida,C6F,1500,2,0.26,0.664,0.047,0.4,Ikeda et al. (2006)
Amallothrix valida,C5F,1500,2,0.287,1,0.075,0.6,Ikeda et al. (2006)
Amallothrix valida,C5M,750,3,0.281,0.684,0.055,0.4,Ikeda et al. (2006)
Amallothrix valida,C6F,750,3,0.562,0.872,0.094,0.4,Ikeda et al. (2006)
Amallothrix valida,C6F,1500,2,0.316,1.094,0.079,0.7,Ikeda et al. (2006)
Bathycalanus bradyi,C6F,1500,2,4.17,34.49,2.38,21.8,Ikeda et al. (2006)
Bathycalanus bradyi,C6F,2500,1.5,1.259,16.78,1.195,9.9,Ikeda et al. (2006)
Bathycalanus bradyi,C6F,2500,1.5,1.052,10.52,0.915,5,Ikeda et al. (2006)
Bradyidius pacificus,C5M,1500,2,0.225,0.89,0.078,0.5,Ikeda et al. (2006)
Candacia columbiae,C6M,750,3,0.231,0.435,0.05,0.2,Ikeda et al. (2006)
Chiridius pacificus,C6F,750,3,0.42,0.692,0.08,0.3,Ikeda et al. (2006)
Chirundina streetsi,C6F,750,3,0.787,1.237,0.158,0.5,Ikeda et al. (2006)
Cornucalanus indicus,C5F,1500,2,0.962,3.55,0.299,1.8,Ikeda et al. (2006)
Cornucalanus indicus,C6F,1500,2,1.017,6.919,0.549,3.8,Ikeda et al. (2006)
Euaugaptilus pseudaffinis,C6F,2500,1.5,0.202,1.681,0.127,0.9,Ikeda et al. (2006)
Euchirella brevis,C6F,750,3,0.51,0.952,0.084,0.5,Ikeda et al. (2006)
Euchirella galeata,C6F,750,3,1.139,2.459,0.28,1.1,Ikeda et al. (2006)
Euchirella messinensis,C6F,750,3,1.02,1.917,0.215,0.9,Ikeda et al. (2006)
Euchirella rostrata,C6F,750,3,0.558,0.93,0.086,0.5,Ikeda et al. (2006)
Euchirella rostrata,C6F,1500,2,0.242,0.804,0.09,0.4,Ikeda et al. (2006)
Euchirella rostrata,C6F,1500,2,0.511,0.82,0.102,0.3,Ikeda et al. (2006)
Euchirella truncata,C4M,750,3,0.086,0.517,0.054,0.2,Ikeda et al. (2006)
Gaetanus paracurvicornis,C6F,2500,1.5,0.222,0.735,0.069,0.3,Ikeda et al. (2006)
Gaidius brevispinus,C6F,750,3,0.432,0.914,0.077,0.4,Ikeda et al. (2006)
Gaidius brevispinus,C6F,750,3,0.362,0.949,0.104,0.4,Ikeda et al. (2006)
Gaidius brevispinus,C6F,1500,2,0.27,0.971,0.099,0.4,Ikeda et al. (2006)
Gaidius robustus,C4F,750,3,0.228,0.381,0.041,0.2,Ikeda et al. (2006)
Gaidius robustus,C5M,2500,1.5,0.251,0.708,0.068,0.3,Ikeda et al. (2006)
Gaidius robustus,C5M,2500,1.5,0.785,3.444,0.209,2.2,Ikeda et al. (2006)
Gaidius robustus,C5M,2500,1.5,0.346,1.261,0.104,0.5,Ikeda et al. (2006)
Gaidius robustus,C6F,2500,1.5,1.322,7.03,0.672,3.5,Ikeda et al. (2006)
Gaidius tenuispinus,C5F,750,3,0.77,1.238,0.117,0.6,Ikeda et al. (2006)
Gaidius tenuispinus,C6F,750,3,0.251,0.436,0.053,0.2,Ikeda et al. (2006)
Gaidius variabilis,C5F,750,3,0.225,0.323,0.034,0.1,Ikeda et al. (2006)
Gaidius variabilis,C5F,2500,1.5,0.258,0.835,0.085,0.4,Ikeda et al. (2006)
Gaidius variabilis,C5M,750,3,0.237,0.488,0.051,0.2,Ikeda et al. (2006)
Gaidius variabilis,C6F,750,3,0.295,0.509,0.055,0.2,Ikeda et al. (2006)
Gaidius variabilis,C6F,1500,2,0.187,0.672,0.067,0.3,Ikeda et al. (2006)
Gaidius variabilis,C6F,1500,2,0.3,0.935,0.1,0.4,Ikeda et al. (2006)
Gaidius variabilis,C6F,2500,1.5,0.155,1.316,0.102,0.7,Ikeda et al. (2006)
Heterostylites major,C6F,2500,1.5,0.162,0.528,0.05,0.2,Ikeda et al. (2006)
Lophothrix frontalis,C6F,1500,2,0.922,3.19,0.303,1.5,Ikeda et al. (2006)
Lophothrix frontalis,C6F,1500,2,0.607,1.416,0.128,0.8,Ikeda et al. (2006)
Lucicutia bicornuta,C6F,1500,2,0.247,1.017,0.075,0.5,Ikeda et al. (2006)
Lucicutia bicornuta,C6M,750,3,0.121,0.625,0.05,0.3,Ikeda et al. (2006)
Lucicutia ellipsoidalis,C6F,2500,1.5,0.271,0.777,0.049,0.4,Ikeda et al. (2006)
Lucicutia grandis,C5F,750,3,0.113,0.429,0.032,0.2,Ikeda et al. (2006)
Lucicutia grandis,C6F,2500,1.5,0.238,1.398,0.093,0.7,Ikeda et al. (2006)
