Species,Temp,Body Mass (ug C per copepod),Food availability (ug C per Liter),Ingestion Rate (Ug C per individual per day)
Acartia_clausi,12,3.7,65,2
Acartia_tonsa,12,4.1,398,5.6
Acartia_tonsa,14,3.7,640,6.2
Acartia_tonsa,19,4.1,580,5.7
Acartia_tonsa,20.2,6.4,44,2
Acartia_tonsa,20.5,6.7,131,2.3
Acartia_tonsa,21.5,4,671,7.1
Acartia_tonsa,27.3,4,509,3
Acartia_tonsa,28,4,64,10.5
Acartia_tonsa,28,4,390,4.7
Acartia_tonsa,29.5,4,390,9.8
Acartia_tonsa,30,4,52,2.5
Calanus_finmarchus,-1.7,160,302,18.9
Calanus_finmarchus,3,115,43,1.4
Calanus_finmarchus,3,115,180,8.6
Calanus_finmarchus,3,160,107,25.7
Calanus_finmarchus,3.5,156,11,0.92
Calanus_finmarchus,4.6,160,10,2.7
Calanus_finmarchus,5.4,160,37,3.4
Calanus_finmarchus,6,128,647,29.5
Calanus_finmarchus,6,135,559,13
Calanus_finmarchus,6,146,125,3.8
Calanus_finmarchus,6.9,160,26,3.4
Calanus_finmarchus,7.5,130,253,38.1
Calanus_finmarchus,7.9,183,697,30.6
Calanus_finmarchus,9.9,183,540,63.2
Calanus_finmarchus,13.3,183,982,53.7
Calanus_glacialis,-1.7,410,302,37.9
Calanus_glacialis,3,410,107,0.38
Calanus_glacialis,3.5,466,3.3,0.31
Calanus_glacialis,3.5,566,5.6,0.21
Calanus_heglolandicus,11,69,767,20
Calanus_heglolandicus,11,72,666,10.6
Calanus_heglolandicus,11,76,559,31.7
Calanus_heglolandicus,11,77,1550,45.2
Calanus_heglolandicus,11.5,123,74,4.5
Calanus_heglolandicus,15,47,58,1.2
Calanus_heglolandicus,15,51,265,0.43
Calanus_heglolandicus,15,54,16,1.6
Calanus_heglolandicus,15,63,13,1
Calanus_hyperboreus,-1.7,940,151,59.6
Calanus_hyperboreus,3,940,107,4.3
Calanus_hyperboreus,3.5,863,11,1.2
Calanus_hyperboreus,3.5,991,5.6,0.56
Centropages_brachiatus,12,8.7,398,3
Centropages_brachiatus,16.5,10,410,5.3
Centropages_cheirchiae,11.5,22,74,2.2
Centropages_typicus,12.5,2.94,73,2.6
Centropages_typicus,18,1.6,144,1.5
Centropages_typicus,23.1,5.2,65,1.9
Clausocalanus_spp,21.8,2.3,10,0.12
Clausocalanus_spp,23.1,1.4,38,0.48
Eucalanus_bungii,2.1,501,438,52
Eucalanus_bungii,3.2,501,67,0.13
Eucalanus_bungii,9.5,501,195,28.3
Eucalanus_pileatus,21.5,11,171,8.8
Eucalanus_pileatus,21.7,15,175,9.3
Neocalanus_cristatus,3.2,2816,67,9.4
Neocalanus_cristatus,9.5,2816,195,54.3
Neocalanus_cristatus,19.5,2816,11,1.9
Neocalanus_fleminger,2.1,359,438,40.7
Neocalanus_fleminger,3.2,359,67,5.7
Neocalanus_plumchrus,6.9,507,67,9.2
Neocalanus_plumchrus,9.5,507,195,57.2
Neocalanus_plumchrus,13.7,507,37,3.1
Neocalanus_plumchrus,19.5,507,11,1.1
Paracalanus_parvus,14,3.7,640,7.1
Paracalanus_parvus,16.5,3.7,410,5
Paracalanus_parvus,19,2.5,580,4.6
Paracalanus_parvus,18,2,29,0.71
Paracalanus_parvus,20.7,1.9,56,0.47
Paracalanus_parvus,22.2,2.3,131,2.2
Paracalanus_parvus,24,2.3,82,1.3
Temora_longicornis,15,6,72,2.5
Temora_longicornis,15,6,89,3.5
Temora_longicornis,15,6,352,5.4
Temora_longicornis,15,6,620,16
Temora_longicornis,15,8,74,1.2
Temora_longicornis,15,4.9,64,2.7
Temora_longicornis,15,5.5,263,4.8
Temora_longicornis,15,8.8,38,0.87
Temora_longicornis,15,9.3,129,2.9
Temora_longicornis,15,9.4,15,0.1
Temora_longicornis,15,9.4,103,1.3
Temora_longicornis,15,9.6,114,1.6
Temora_longicornis,15,9.8,75,0.21
Temora_longicornis,15,9.9,19,0.9
Temora_longicornis,15,10,13,0.31
Temora_stylifera,21.8,6.7,10,0.17
Temora_stylifera,23.1,3.1,38,1.3
