Year,January,February,March,April,May,June,July,August,September,October,November,December
1948,-7.846,-8.785,-5.359,0,6.087,11.147,13.335,13.35,9.751,4.421,-2.165,-6.571
1949,-6.78,-8.168,-5.79,0.313,5.696,10.433,12.931,13.102,9.312,3.782,-2.783,-7.867
1950,-11.29,-7.895,-5.257,-0.116,5.332,10.504,13.003,12.576,9.615,3.278,-4.045,-6.94
1951,-9.981,-10.138,-5.344,0.494,5.677,10.508,13.445,13.162,9.869,3.168,-2.636,-6.373
1952,-9.27,-8.993,-5.832,-0.087,5.728,10.616,13.561,13.194,9.615,3.201,-4.229,-7.104
1953,-9.706,-8.724,-4.439,0.773,5.915,11.013,13.542,13.282,9.435,3.966,-3.344,-6.297
1954,-11.702,-9.74,-5.856,-1.333,5.007,11.094,13.475,13.118,9.314,4.149,-2.61,-6.829
1955,-7.761,-8.953,-6.924,-0.337,5.748,10.954,13.232,13.306,8.883,3.862,-3.087,-8.338
1956,-9.884,-10.584,-6.692,-0.756,4.841,10.533,12.979,12.523,8.267,3.401,-3.112,-8.027
1957,-9.912,-8.908,-6.022,-0.378,5.799,10.938,13.374,12.832,9.741,3.655,-2.588,-6.362
1958,-8.749,-8.579,-6.046,-0.919,5.35,10.383,13.147,12.967,8.534,3.481,-2.422,-7.581
1959,-9.338,-9.075,-5.089,-0.491,5.106,10.675,13.436,12.757,9.231,2.367,-4.203,-7.58
1960,-10.143,-8.263,-7.471,-0.46,5.011,10.609,13.054,12.536,8.814,2.549,-4.116,-6.869
1961,-9.555,-8.022,-5.177,-0.339,5.196,10.35,12.912,12.685,8.588,2.437,-3.224,-7.366
1962,-8.79,-9.465,-5.765,-0.453,5.396,9.925,12.99,12.168,8.713,3.055,-3.494,-7.198
1963,-10.054,-8.491,-6.672,-1.014,4.795,9.955,13.284,12.79,8.971,3.901,-2.79,-7.187
1964,-8.443,-8.967,-7.825,-1.607,5.373,10.418,13.102,12.295,8.471,2.568,-3.186,-8.027
1965,-10.193,-9.977,-5.687,-0.946,5.187,10.404,12.665,12.199,8.692,3.197,-5.211,-8.325
1966,-11.247,-9.974,-5.532,-0.525,5.463,10.59,13.134,12.694,9.322,3.062,-4.226,-9.258
1967,-10.682,-10.241,-6.115,-0.47,5.604,10.463,13.267,12.695,8.998,4.179,-3.175,-7.5
1968,-11.075,-8.63,-4.35,0.032,5.741,10.228,12.771,12.657,8.562,2.908,-4.216,-9.394
1969,-13.109,-11.545,-6.953,-1.229,4.088,9.602,13.123,12.656,8.235,2.432,-2.272,-8.015
1970,-10.285,-9.462,-6.162,-0.545,4.754,10.229,13.058,12.422,8.881,2.726,-3.654,-9.03
1971,-9.152,-10.524,-6.803,-0.275,5.298,10.196,12.611,12.525,8.835,3.388,-2.333,-7.858
1972,-12.793,-10.332,-6.651,-0.498,4.683,9.799,12.443,12.391,7.643,1.916,-3.996,-8.564
1973,-9.811,-8.98,-4.87,-0.318,5.096,9.959,12.486,12.414,8.619,2.617,-3.357,-6.522
1974,-11.426,-9.877,-6.409,0.145,4.871,9.929,12.984,12.401,8.66,1.492,-3.919,-7.532
1975,-8.761,-9.017,-4.88,0.672,5.735,10.419,13.178,12.206,9,1.913,-3.692,-7.422
